country_code,sector,sum,mean,median,count,,sum,mean,median
CAN,Automotive & Sports,15,7.5,7.5,2,,15000000,7500000,7500000
,Cleantech / Semiconductors,1015.89,9.07,8.6,112,,1015887607,9070425.063,8600000
,Entertainment,160.02,6.96,5.96,23,,160022068,6957481.217,5960000
,Health,168.35,8.02,7.06,21,,168345064,8016431.619,7057847
,Manufacturing,237.63,7.67,7,31,,237633071,7665582.935,7000000
,"News, Search and Messaging",420.12,9.13,8.69,46,,420121113,9133067.674,8685000
,Others,926.14,8.5,8,109,,926137962,8496678.55,8000000
,"Social, Finance, Analytics, Advertising",656.14,8.41,7.5,78,,656143075,8412090.705,7500000
GBR,Automotive & Sports,167.05,10.44,10.95,16,,167051565,10440722.81,10945000
,Cleantech / Semiconductors,1163.99,8.95,8.34,130,,1163990056,8953769.662,8342136.5
,Entertainment,482.78,8.62,8.5,56,,482784687,8621155.125,8502954
,Health,214.54,8.94,7.85,24,,214537510,8939062.917,7846072.5
,Manufacturing,361.94,8.62,7.97,42,,361940335,8617627.024,7965208
,"News, Search and Messaging",615.75,8.43,7.52,73,,615746235,8434879.932,7520000
,Others,1283.62,8.73,8,147,,1283624289,8732138.02,8000000
,"Social, Finance, Analytics, Advertising",1089.4,8.19,7.72,133,,1089404014,8191007.624,7719600
IND,Automotive & Sports,136.9,10.53,11,13,,136900000,10530769.23,11000000
,Cleantech / Semiconductors,165.38,8.27,8,20,,165380000,8269000,8000000
,Entertainment,280.83,8.51,8,33,,280830000,8510000,8000000
,Health,167.74,8.83,9,19,,167740000,8828421.053,9000000
,Manufacturing,200.9,9.57,10,21,,200900000,9566666.667,10000000
,"News, Search and Messaging",433.83,8.34,8,52,,433834545,8342972.019,8000000
,Others,1013.41,9.21,9,110,,1013409507,9212813.7,9000000
,"Social, Finance, Analytics, Advertising",550.55,9.18,8.18,60,,550549550,9175825.833,8178025
USA,Automotive & Sports,1454.1,8.71,8.18,167,,1454104361,8707211.743,8181488
,Cleantech / Semiconductors,21642.92,9.21,9,2351,,21642917751,9205834.858,9000000
,Entertainment,5099.2,8.63,8,591,,5099197982,8628084.572,8000000
,Health,8211.86,9.03,8.6,909,,8211859357,9033948.688,8600000
,Manufacturing,7258.55,9.08,8.8,799,,7258553378,9084547.407,8800000
,"News, Search and Messaging",13971.57,8.83,8,1583,,13971567428,8826005.956,8000000
,Others,26321.01,8.92,8.25,2950,,26321007002,8922375.255,8250000
,"Social, Finance, Analytics, Advertising",23807.38,8.77,8,2714,,23807376964,8772062.256,8000000
"sum , mean, median are in millions USD",,,,,,,,,